0.000000	0.500000	1.000000	0.500000	0.000000
0.939913	0.437823	0.320821	0.500000	0.500000
0.828608	0.651355	0.569813	0.867591	0.035926
0.922949	0.408318	0.245749	0.839864	0.052147
0.800499	0.418563	0.280955	0.863645	0.038040
0.812729	0.409689	0.269562	0.832158	0.057230
0.806678	0.421669	0.284440	0.835546	0.054964
0.814698	0.420289	0.281617	0.833877	0.056074
0.813535	0.420966	0.282545	0.836087	0.054607
0.814003	0.420071	0.281435	0.835768	0.054817
0.813411	0.420200	0.281675	0.835896	0.054733
0.813515	0.420148	0.281602	0.835734	0.054840
0.813478	0.420213	0.281683	0.835762	0.054821
0.813522	0.420202	0.281663	0.835752	0.054828
0.813513	0.420206	0.281669	0.835764	0.054820
0.813516	0.420201	0.281663	0.835762	0.054821
